record_id,item,framing_arm,proof_variant,segment,n_shown,n_best,n_worst,bw_score
28.0,17,1,0,3,2,0,1,-1
29.0,13,2,3,15,4,1,1,0
29.0,11,2,1,15,3,1,2,-1
29.0,1,2,3,15,3,0,2,-2
29.0,2,2,3,15,4,0,1,-1
29.0,3,2,1,15,4,2,0,2
29.0,12,2,1,15,3,1,0,1
29.0,14,2,0,15,4,0,0,0
29.0,15,2,1,15,3,0,1,-1
29.0,4,2,1,15,4,0,2,-2
29.0,5,2,2,15,4,4,0,4
29.0,16,2,3,15,2,0,0,0
29.0,6,2,2,15,4,1,1,0
29.0,17,2,0,15,2,0,1,-1
29.0,7,2,0,15,4,0,2,-2
29.0,8,2,0,15,3,2,1,1
29.0,9,2,0,15,3,2,0,2
29.0,10,2,1,15,2,0,0,0
30.0,2,1,2,9,4,3,0,3
30.0,12,1,1,9,4,1,1,0
30.0,11,1,2,9,3,0,0,0
30.0,8,1,0,9,3,0,3,-3
30.0,3,1,1,9,4,1,2,-1
30.0,13,1,2,9,4,0,2,-2
30.0,9,1,0,9,2,0,1,-1
30.0,14,1,0,9,4,0,0,0
30.0,4,1,1,9,4,2,0,2
30.0,10,1,1,9,2,0,2,-2
30.0,5,1,2,9,3,2,0,2
30.0,15,1,2,9,4,0,1,-1
30.0,16,1,1,9,3,0,0,0
30.0,6,1,3,9,3,0,1,-1
30.0,17,1,0,9,3,1,0,1
30.0,7,1,0,9,3,2,1,1
30.0,1,1,2,9,3,2,0,2
31.0,11,2,1,3,3,1,0,1
31.0,15,2,1,3,4,0,1,-1
31.0,14,2,0,3,3,1,0,1
31.0,5,2,1,3,4,2,1,1
31.0,16,2,3,3,4,0,0,0
31.0,12,2,2,3,2,1,0,1
31.0,6,2,1,3,4,0,3,-3
31.0,17,2,0,3,4,1,1,0
31.0,13,2,3,3,2,0,0,0
31.0,7,2,0,3,4,0,1,-1
31.0,1,2,1,3,4,0,4,-4
31.0,8,2,0,3,3,1,0,1
31.0,2,2,1,3,3,1,0,1
31.0,9,2,0,3,3,1,1,0
31.0,3,2,3,3,3,0,2,-2
31.0,10,2,2,3,3,2,0,2
31.0,4,2,3,3,3,3,0,3
32.0,4,2,1,16,3,2,0,2
32.0,5,2,1,16,4,1,1,0
32.0,1,2,1,16,3,2,0,2
32.0,12,2,1,16,4,0,3,-3
32.0,6,2,1,16,4,2,0,2
32.0,2,2,2,16,2,2,0,2
32.0,13,2,1,16,4,2,2,0
32.0,7,2,0,16,4,0,4,-4
32.0,3,2,1,16,2,0,1,-1
32.0,14,2,0,16,4,1,0,1
32.0,15,2,1,16,3,0,1,-1
32.0,8,2,0,16,4,1,1,0
32.0,9,2,0,16,3,1,0,1
32.0,16,2,2,16,3,0,0,0
32.0,17,2,0,16,3,0,0,0
32.0,10,2,2,16,3,0,1,-1
